title,job_type,salary,skills,address,company_name,company_description
"Frontend Developer (Angular, HTML5, CSS)",FULL_TIME,Negotiate,"Angular, HTML5, CSS","30 Nguyễn Văn Lạc, Phường 19, Binh Thanh, Ho Chi Minh",Jio Health,Jio Health - Dịch vụ chăm sóc sức khỏe tại nhà.
Chuyên gia IT - ERP Manager,FULL_TIME,"2,000 - 3,500 USD","Oracle, ERP","183 Nguyễn Văn Trỗi, Phu Nhuan, Ho Chi Minh",Hoa Sen Group,CÔNG TY CỔ PHẦN TẬP ĐOÀN HOA SEN (HSG)
Mobile App Developer (IOS),FULL_TIME,"1,000 - 2,000 USD","iOS, English, Android","278 Nguyen Dinh Chieu Street, Ward 6, District 3, Ho Chi Minh",Neo Consulting,"At Neo Consulting Co, Ltd"
"Junior 2 .NET Developer (C#, ASP.NET)",FULL_TIME,You'll love it,".NET, C#, ASP.NET","27 Phạm Cự Lượng ,Phường 2, Tan Binh, Ho Chi Minh",Enrich & Co.,New and exciting start-up in the software and technology industry
Business Analyst - Up to $1800 Net,FULL_TIME,Up to $1800 net,"Business Analyst, Agile, English","2 Nguyen The Loc, Ward 12, Tan Binh, Ho Chi Minh",Saigon Technology Solutions,A fast growing software development company in Viet Nam
"Senior/ Lead Mobile Devs (iOS, Android)",FULL_TIME,Up to $2500,"iOS, Android, Swift","68 Bach Dang, Tan Binh, Ho Chi Minh",Silicon Prime Labs,USA Mobile and Web App Development Company 
"05 Senior .NET Devs (C#, ASP.NET, MVC)",FULL_TIME,You'll love it,".NET, C#, ASP.NET","C'Land Tower, 156 Xa Dan 2, Dong Da, Ha Noi","Niteco Vietnam Co., Ltd",The Employer of Choice
UI-UX Designer (HTML/CSS) $500 - $1200,FULL_TIME,"500 - 1,200 USD","Designer, HTML5, UI-UX","15 Đặng Thùy Trâm, Hoàng Quốc Việt, Cau Giay, Ha Noi",Thai Son Soft,Công ty Phát triển công nghệ Thái Sơn là công ty hoạt động trong lĩnh vực CNTT
"Java Developer (MySQL, Spring)",FULL_TIME,You'll love it,"Java, MySQL, Spring","Anna building, Quang Trung sofware city, District 12, Ho Chi Minh",Travel and Pay Software Solutions,Develop People for Good Product
"Senior .NET Developer (C#, OOP)",FULL_TIME,Up to $2.000,".NET, C#, OOP","Anna building, Quang Trung sofware city, District 12, Ho Chi Minh",Travel and Pay Software Solutions,Develop People for Good Product
Front-end Developer (Angular),FULL_TIME,You'll love it,"Angular, JavaScript","138 Truong Cong Dinh, Tan Binh, Ho Chi Minh",Bigin,Bigin is a software development company
05 Sr/Software Engineers (Golang/Python),FULL_TIME,$2000+++,"Golang, Python, C++","92 Nam Kỳ Khởi Nghĩa, SaiGon Center 2 - Takashimaya, District 1, Ho Chi Minh",Sea Group (formerly Garena),Connect The Dots To Connect The World
Fullstack Dev ( Java / AngularJS/ HTML ),FULL_TIME,You'll love it,"Java, HTML5, AngularJS","Phòng 207, Tòa nhà Viện Kỹ thuật Điều khiển và Tự động hóa - Trường ĐHBK HN Số 1 Đại Cồ Việt, Q. Hai Bà Trưng, Hà Nội., Hai Ba Trung, Ha Noi",VDSmart,Công ty CP Công nghệ VDSmart
"5 Senior/ iOS Engineers (Swift,Object C)",FULL_TIME,$2000+++,"iOS, Objective C, Swift","92 Nam Kỳ Khởi Nghĩa, SaiGon Center 2 - Takashimaya, District 1, Ho Chi Minh",Sea Group (formerly Garena),Connect The Dots To Connect The World
Senior QA QC Leader (Tester),FULL_TIME,You'll love it,"QA QC, Team Leader, Manager","431 Hoàng Văn Thụ, Phường 4, Tân Bình, Hồ Chí Minh, Vietnam, Tan Binh, Ho Chi Minh",Deliveree On-Demand Logistics,"At Deliveree, we disrupt the logistics industry with technologies."
Frontend Developer (HTML/CSS/UI-UX/Java),FULL_TIME,"1,400 - 2,400 USD","UI-UX, HTML5, ReactJS","Etown 1 Building, Unit 7.10, 364 Cong Hoa Street, Tan Binh, Ho Chi Minh",Magnolia,People are at the heart of company. Wait no more to become a fellow Magnolian with a CMS product
Senior ReactJS Developer (Up to $2500),FULL_TIME,"1,500 - 2,500 USD","ReactJS, JavaScript","QTSC Building 1, Quang Trung Software City, District 12, Ho Chi Minh",LARION,One of the leading software outsourcing services and business solutions provider
Lập Trình viên Angular (Javascript/.Net),FULL_TIME,You'll love it,"Angular, JavaScript, .NET","Ngõ 15 Phố Duy Tân, Cau Giay, Ha Noi",HICAS,Hicas tập trung nghiên cứu và phát triển sản phẩm phần mềm trong lĩnh vực CAD/BIM
Senior .NET C# MVC Developer Up to $2500,FULL_TIME,"1,500 - 2,500 USD",".NET, C#, MVC","14  Phan Tôn, District 1, Ho Chi Minh",Apptitude,Our software solutions provided to the market is being used by thousands of finance professionals. 
