title,job_type,salary,skills,address,company_name,company_description
"Fullstack (ReactJS, JavaScript, CSS)",FULL_TIME,"800 - 1,000 USD","ReactJS, CSS, JavaScript","Cloud based POS for Restaurant, Cafe, Bar",HotTab,"Cloud based POS for Restaurant, Cafe, Bar"
Engineering Manager - Canada Product Co.,FULL_TIME,You'll love it,"Manager, Software Architect, J2EE",Welcome to the world of enterprise resilience!,Absolute Software (Vietnam) Ltd,Welcome to the world of enterprise resilience!
Blockchain Dev (Java/JavaScript/NodeJS),FULL_TIME,You'll love it,"Blockchain, JavaScript, Java",Island Peak Cloud,Island Peak Cloud,Island Peak Cloud
"05 ASP.NET Devs (C#, MySQL) - All Levels",FULL_TIME,"600 - 1,500 USD","C#, MySQL, ASP.NET",RELIPA SOFTWARE: CHẤT LƯỢNG PHẦN MỀM VÀ CHẤT LƯỢNG CUỘC SỐNG LÀ ƯU TIÊN SỐ 1,RELIPA SOFTWARE,RELIPA SOFTWARE: CHẤT LƯỢNG PHẦN MỀM VÀ CHẤT LƯỢNG CUỘC SỐNG LÀ ƯU TIÊN SỐ 1
Senior Backend/Tech Lead (Python/NodeJS),FULL_TIME,You'll love it,"Python, JavaScript, NodeJS",Join us to build Asia's most trusted service marketplace!,ComeNow,Join us to build Asia's most trusted service marketplace!
Magento/PHP Web Developer (JavaScript),FULL_TIME,"1,500 - 1,900 USD","Magento, JavaScript, PHP",Do the best,Holoscribe Limited,Do the best
"05 Java Developers (MySQL, Oracle)",FULL_TIME,You'll love it,"Java, MySQL, Oracle",VNPAY - Công ty hàng đầu trong lĩnh vực Thanh toán điện tử tại Việt Nam,VNPAY,VNPAY - Công ty hàng đầu trong lĩnh vực Thanh toán điện tử tại Việt Nam
02 Tester/Tester Leader (Java),FULL_TIME,You'll love it,"Tester, Team Leader, SQL",REVOTECH,REVOTECH ,REVOTECH
"03 .NET Developer (C#, ASP.NET) ~ $1,500",FULL_TIME,"500 - 1,500 USD",".NET, HTML5, C#","“Better solutions, Better values”",iSTS,"“Better solutions, Better values”"
"Frontend Developer (JavaScript, ReactJS)",FULL_TIME,"500 - 1,000 USD","JavaScript, HTML5, ReactJS","Pasona Tech Việt Nam chuyên cung cấp dịch vụ phần mềm, kỹ thuật ứng dụng, ...",Pasona Tech Việt Nam,"Pasona Tech Việt Nam chuyên cung cấp dịch vụ phần mềm, kỹ thuật ứng dụng, ..."
"Mobile Developer (Flutter, IOS, Android)",FULL_TIME,Up to 1200$,"React Native, Android, iOS","Công ty KaiyouIT là công ty 2 thành viên Nhật bản và Việt Nam, công ty thành lập vào tháng 2/2019",KaiyouIT,"Công ty KaiyouIT là công ty 2 thành viên Nhật bản và Việt Nam, công ty thành lập vào tháng 2/2019"
Senior Python Developer (Up to $2500),FULL_TIME,"1,500 - 2,500 USD","Python, SQL",One of the leading software outsourcing services and business solutions provider,LARION,One of the leading software outsourcing services and business solutions provider
Senior Software Engineer (Microservices),FULL_TIME,You'll love it,"JavaScript, NodeJS, Golang",HMS is a young startup of VinGroup,VinHMS,HMS is a young startup of VinGroup
Junior PHP Developer (~700$),FULL_TIME,You'll love it,"PHP, NodeJS, ReactJS",One of leading venture companies in smartphones applications and social games from Japan,bravesoft Vietnam,One of leading venture companies in smartphones applications and social games from Japan
QA QC/Tester (Manual and/or Automation),FULL_TIME,Up to $2000 and more,"Tester, English, QA QC",From BIG idea to BEST idea!,CloudStorm,From BIG idea to BEST idea!
Ruby on Rails Developer (up to $4000),FULL_TIME,Up to $4000,"Ruby on Rails, Ruby, English",From BIG idea to BEST idea!,CloudStorm,From BIG idea to BEST idea!
UNIX / System Admin - Shift working,FULL_TIME,You'll love it,"System Admin, Linux, System Engineer",You would like to join a highly motivated team in a first class environment?,Codix,You would like to join a highly motivated team in a first class environment?
"01 Web Designer (UI UX , HTML5)",FULL_TIME,Upto 1000$,"Designer, HTML5, UI-UX",Nami Corp. is a global fintech company working on Investment & Blockchain based Technology,Nami Corporation,Nami Corp. is a global fintech company working on Investment & Blockchain based Technology
Software Test Engineer,FULL_TIME,"Up to 1,500 usd","Tester, SQL, QA QC",A software services to Internet-based companies provider,Nexcel Solutions,A software services to Internet-based companies provider
Java Architect (AWS),FULL_TIME,You'll love it,"Java, AWS, Spring","Agile, Innovative & Excellent Global Technology Company with deep roots in Vietnam",KMS Technology,"Agile, Innovative & Excellent Global Technology Company with deep roots in Vietnam"
