title,job_type,skills,company_name,company_description,address
Smart Solutions Manager -iOT/ Networking,FULL_TIME,"Manager, Database, Networking",Hung Thinh Corporation,TẬP ĐOÀN HƯNG THỊNH ,"CÔNG TY CỔ PHẦN TẬP ĐOÀN HƯNG THỊNH, District 3, Ho Chi Minh"
QA Engineer,FULL_TIME,"QA QC, Tester",Manabie International Pte Ltd,What’s your inner greatness?,"15th Floor, 180 Nguyen Cong Tru, Nguyen Thai Binh Ward, District 1, Ho Chi Minh"
Product Owner,FULL_TIME,"Product Manager, English",Live group,Business solutions made simple,"244 Cống Quỳnh, Pham Ngu Lao Ward, District 1, Ho Chi Minh"
"QC Engineer Tester, QA QC",FULL_TIME,"Tester, QA QC",HARAVAN,HARAVAN - Everything you need to selling everywhere,"182 Le Dai Hanh Street, Ward 15, District 11, Ho Chi Minh"
"Senior QA/QC Engineer QA QC, Tester",FULL_TIME,"QA QC, English, Tester",Silicon Prime Labs,USA Mobile and Web App Development Company ,"68 Bach Dang, Tan Binh, Ho Chi Minh"
"PHP Dev Wordpress, Drupal, Laravel",FULL_TIME,"PHP, Wordpress, Laravel",Sutrix Solutions,An international software development company specializing in Web Application and Mobile Apps,"1  Bach Dang, Tan Binh, Ho Chi Minh"
Front-end Dev JavaScript/ReactJS/HTML5,FULL_TIME,"JavaScript, HTML5, ReactJS",Viet Money Jsc,Vietmmoney - Kênh tài chính tiện lợi - Hệ thống cầm đồ trực tuyến hàng đầu Việt Nam.,"Onplaza, Tầng 8, 614 - 618 Đường 3 Tháng 2, Phường 14, District 10, Ho Chi Minh"
2 Mobile App Developers iOS / Android,FULL_TIME,"OOP, Android, iOS",WHITE PIXEL,Singapore-based mobile apps studio,"10 Phan Dinh Giot, Tan Binh, Ho Chi Minh"
"Backend Developer PHP, Laravel, MySQL ",FULL_TIME,"PHP, MySQL, Laravel",OKXE,"OKXE - ""XE OK"" - 1st MOTORBIKE PLATFORM IN VIETNAM","11 Floor, Sao Mai Building, No.19 Le Van Luong Street, Thanh Xuan, Ha Noi"
Quality Assurance Engineer Tester,FULL_TIME,"QA QC, English, Tester",Koh Young Technology Inc,Delivery authentic values with true dedication and Professionalism,"Trang An Complex bldg, CT1, 1 Phùng Chí Kiên (TS & SQA office), Cau Giay, Ha Noi"
ReactJS Dev Javascript tu 800-1200,FULL_TIME,"ReactJS, HTML5, JavaScript",Kaopiz Sofware ,"Kaopiz Software Co., Ltd","CT1, C14 Bắc Hà Building, Nam Tu Liem, Ha Noi"
Senior Product Manager ,FULL_TIME,"Product Manager, Project Manager, Manager",Pizza Hut Digital Ventures,Pizza Hut Digital Ventures,"Waseco Building - 10 Pho Quang Street, Ward 02, Tan Binh District, Ho Chi Minh, Tan Binh, Ho Chi Minh"
"Software Engineer .Net,C#,AWS,PHP",FULL_TIME,".NET, C#, AWS",Metasource,We bring great international companies to Vietnam,"101 Cu Lao, Phu Nhuan, Ho Chi Minh"
"Frontend Developer JavaScript,ReactJS",FULL_TIME,"ReactJS, CSS, JavaScript",Dwarves Foundation,Empower the next innovations,"5B Phổ Quang, Tan Binh, Ho Chi Minh"
"iOS Developer Swift, Xcode",FULL_TIME,"iOS, Objective C, Swift",VNPT Media Software,Công ty Phát triển Phần mềm VNPT-Media,"21-23 Hồ Văn Huê, Phường 9, Phu Nhuan, Ho Chi Minh"
Product Manager,FULL_TIME,"Product Manager, Project Manager, Manager",Yojee,Come join one of Singapore's most exciting and fastest growing technology companies!,"384 Hoàng Diệu, District 4, Ho Chi Minh"
Java Developers Game Server,FULL_TIME,"Java, OOP, Games",Mecury Studio,"Mecury Studio, fast growing gaming supplier for Android, iOS & major platform. ","99 Nguyen Thi Minh Khai, District 1, Ho Chi Minh"
"Senior Java DevSpring,SQL,Microservice",FULL_TIME,"Java, SQL, Spring",Viettel Digital Services,Viettel Digital – Tổng Công ty thành viên thứ 8 của Tập đoàn Công nghiệp – Viễn thông Quân đội,"Tầng 44-45 Keangnam Hanoi Landmark Tower, Phạm Hùng, Mễ Trì, Nam Tu Liem, Ha Noi"
Project Manager,FULL_TIME,"Project Manager, Product Manager, ASP.NET",VinHMS,HMS is a young startup of VinGroup,"E-Town Central, tầng 24, số 11 Đoàn Văn Bơ, P.12, District 4, Ho Chi Minh"
"Tuyen 10 Developers C#, .NET, OOP",FULL_TIME,".NET, C#, OOP",Tap Hospitality Vietnam,Tap is a hotel-specific solution vendor. Establishment in 1987 in Japan,"5th Floor, TechnoSoft Building, 15/8 Duy Tan Str, Cau Giay, Ha Noi"
"5 Fullstack Dev PHP, JavaScript, VueJS",FULL_TIME,"PHP, JavaScript, VueJS",Tap Hospitality Vietnam,Tap is a hotel-specific solution vendor. Establishment in 1987 in Japan,"5th Floor, TechnoSoft Building, 15/8 Duy Tan Str, Cau Giay, Ha Noi"
"Mobile App Developer React Native, iOS",FULL_TIME,"React Native, Android, iOS",Doctor Bear,Doctor Bear,"Lầu 2, 292/12 Cách Mạng Tháng 8, Phường 10, District 3, Ho Chi Minh"
"PHP Developer Laravel, JavaScript",FULL_TIME,"PHP, JavaScript, Laravel",GVN Technology,CÔNG TY CỔ PHẦN CÔNG NGHỆ GVN,"24 Hoàng Quốc Việt, Cau Giay, Ha Noi"
4 PHP Developer Ruby Up to 1200,FULL_TIME,"PHP, JavaScript, Ruby",LIFULL Tech Vietnam,"LIFULL Tech Vietnam - Công ty con thuộc group Công ty LIFULL Co., Ltd.","17 Đường số 2, Cư xá Đô Thành, District 3, Ho Chi Minh"
Backend Developer Python/Java/Ruby,FULL_TIME,"Python, Ruby, Java",VIET CAPITAL SECURITIES JOINT STOCK COMPANY,VIET CAPITAL SECURITIES JOINT STOCK COMPANY,"02 Hải Triều, District 1, Ho Chi Minh"
"Developers PHP, iOS, Andriod",FULL_TIME,"PHP, Android, iOS",VTL-Solutions Ltd.,WE BUILD BEAUTIFUL APPS FOR ENTERPRISE,"EverRich Infinity, 290 An Dương Vương, Phường 3, Quận 5, TPHCM, Việt Nam, District 5, Ho Chi Minh"
"Web Dev Javascript, ReactJS,CSS",FULL_TIME,"ReactJS, CSS, JavaScript",Vinstar Group,Unlock Growth Potential,"Tòa nhà Ong&Ong, lầu 1, số 159 Phan Xích Long, phường 7, Phu Nhuan, Ho Chi Minh"
PHP Developer OOP - Up to 1500,FULL_TIME,"PHP, OOP",MOG Viet Nam,Công ty cổ phần MOG Việt Nam,"Tầng 7, Tòa 97 - 99 Láng Hạ, Đống Đa, Hà Nội, Dong Da, Ha Noi"
"Sr.Project Manager, Software Engineering",FULL_TIME,"Project Manager, Agile, English",Deliveree On-Demand Logistics,"At Deliveree, we disrupt the logistics industry with technologies.","431 Hoàng Văn Thụ, Phường 4, Tân Bình, Hồ Chí Minh, Vietnam, Tan Binh, Ho Chi Minh"
"Senior Backend Developer NodeJS, Ruby",FULL_TIME,"NodeJS, Ruby on Rails, JavaScript",Floware,"Floware designs, develops, and distributes productivity software","43 Hồ Văn Huê, Phu Nhuan, Ho Chi Minh"
"Network, Data Center and Wintel",FULL_TIME,"Networking, English",Vietnam International Bank (VIB),One of the leading commercial joint stock banks in Vietnam,"Sailing Tower Building, District 1, Ho Chi Minh"
"Frontend Dev ReactJS,UI-UX,JavaScript",FULL_TIME,"ReactJS, UI-UX, JavaScript",DIGI-TEXX VIETNAM,A Leading BPO Company in Vietnam | Transformation Happens Here | Digital Solutions,"Anna Building, Quang Trung Software City, District 12, Ho Chi Minh"
Senior Technical Product Owner,FULL_TIME,"Product Manager, Business Analyst",Zalo,"At Zalo, we build world-class tech products used and loved by millions.","Lot 3B Street No.13 Tan Thuan EPZ, District 7, Ho Chi Minh"
"Senior Backend Developer Java, SQL",FULL_TIME,"Java, SQL, Spring",Jio Health,Jio Health - Dịch vụ chăm sóc sức khỏe tại nhà.,"30 Nguyễn Văn Lạc, Phường 19, Binh Thanh, Ho Chi Minh"
Senior/Expert System Engineer PHP/Java,FULL_TIME,"Java, PHP",AI&T,WE ARE  AI&T,"21th Floor, TNR Tower, 54A Nguyen Chi Thanh Street, Dong Da, Ha Noi"
Senior .NET Web Dev ASP.NET/JavaScript,FULL_TIME,".NET, JavaScript, ASP.NET",Episerver,Episerver ,"165 Thái Hà, Dong Da, Ha Noi"
Technical Architect/Lead - Javascript,FULL_TIME,"JavaScript, MySQL, NodeJS",CIMB Bank Vietnam,CIMB Bank Vietnam,"177 Hai Ba Trung - VRG Building, District 3, Ho Chi Minh"
Java Developer Upto 2000 NET,FULL_TIME,"Spring, Java",Giao Hàng Tiết Kiệm,Giaohangtietkiem.vn: MasterDev. - Working with Master Dev.,"Tòa nhà VTV, số 8 Phạm Hùng, phường Mễ Trì, quận Nam Từ Liêm, thành phố Hà Nội, Nam Tu Liem, Ha Noi"
Back End Dev JavaScript/NodeJS/ReactJS,FULL_TIME,"JavaScript, NodeJS, ReactJS",Fitmed,"Tư vấn chiến lược, cung cấp phần mềm ngành y","32/2 Thong Nhat, Phuong 10, Go Vap, Ho Chi Minh"
FullStack DeveloperReactJS/ JavaScript,FULL_TIME,"JavaScript, NodeJS, ReactJS",Shift Asia Vietnam,SHIFT ASIA - Sự kết hợp tuyệt vời giữa Chất lượng Nhật Bản và sức mạnh Châu Á.,"130 Suong Nguyet Anh Street, Ben Thanh Ward, District 1, Ho Chi Minh"
"Fullstack PHP Dev  Laravel, MySQL",FULL_TIME,"PHP, MySQL, Laravel",Encode Vietnam,Đi đầu trong lĩnh vực mã hóa dữ liệu của Việt Nam,"Tầng7, phòng 7c, tòa nhà 39, số 19 Nguyễn Trãi, Thanh Xuân, Hà Nội., Thanh Xuan, Ha Noi"
30 Senior .Net Developer,FULL_TIME,"C#, MVC, ASP.NET",NashTech,"Global software, offshore development and IT company.","364 Cong Hoa, Tan Binh, Ho Chi Minh"
"Software Test Engineer QA QC, Tester",FULL_TIME,"Tester, English, QA QC",Orange Logic,Orange Logic,"Unit 1209 - 1203, 12th Floor, Saigon Trade Center Building, 37 Ton Duc Thang, District 1, Ho Chi Minh City, District 1, Ho Chi Minh"
Senior QC Engineer,FULL_TIME,"QA QC, English, Tester",NashTech,"Global software, offshore development and IT company.","364 Cong Hoa, Tan Binh, Ho Chi Minh"
SQL Database Developers 600-1500 NET,FULL_TIME,"Database, SQL, English",Aperia Solutions Vietnam Co Ltd,"Aperia Solutions Vietnam, Former name : Data Delivery Services VN.","12 BIMI Tower, Song Thao Street, ward 2, Tan Binh, Ho Chi Minh"
"QC Engineer QA QC, Tester",FULL_TIME,"QA QC, Japanese, Tester",International Digital Services Vietnam,"IDS Vietnam Co., Ltd là công ty 100% vốn Nhật Bản được thành lập vào tháng 3 năm 2017","2F, NTA Tower, 171-173  Dien Bien Phu, District 1, Ho Chi Minh"
DevOps Engineer KS van hanh he thong,FULL_TIME,"Linux, Database",Công Nghệ Giáo Dục Thiên Hà Xanh,Công ty chuyên về lịch vực đầu tư và phát triển các dự án công nghệ giáo dục (Edtech & E-learning),"Tầng 9, Tòa zodiac, ngõ 19, Phố Duy Tân, Phường Dịch Vọng Hậu, Cau Giay, Ha Noi"
QC Engineer Software  Game Tester,FULL_TIME,"Tester, QA QC",i3 DVR International,"i3 DVR International Inc develops robust, intelligent and innovative software ","10 D52, Tan Binh, Ho Chi Minh"
Junior Frontend Dev JavaScript/HTML5/CSS,FULL_TIME,"JavaScript, HTML5, CSS",Con Cưng,Hệ thống bán lẻ các sản phẩm Mẹ bầu và em bé,"801 Nguyễn Văn Linh, District 7, Ho Chi Minh"
"Backend Developer Java, JavaScript",FULL_TIME,"Java, SQL, JavaScript",Senspark,We are an indie game developer ,"164 Nguyễn Văn Thương, Binh Thanh, Ho Chi Minh"
Backend Developer Ruby/PHP/AWS 1800,FULL_TIME,"Ruby, PHP, AWS",1PAC Việt Nam,Công ty TNHH 1PAC Việt Nam,"Devspace building, 86-88 Dinh Tien Hoang, Binh Thanh, Ho Chi Minh"
"Mid/Sr Frontend Developer ReactJS, CSS",FULL_TIME,"JavaScript, CSS, ReactJS",Adstart Media Pte Ltd,Adstart Media Pte Ltd,"Tòa nhà Tresor, Số 39-39B đường Bến Vân Đồn, Phường 6, District 4, Ho Chi Minh"
